     reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
A03      20579                   1108                    692                   5086                  24436                     6                       106                20467
B03      12256                    619                    400                   2937                  10854                     5                        40                12211
C03      19268                    368                    622                   5658                  25473                     3                       114                19151
D03       7790                    358                    287                   1196                  11203                     1                        50                 7739
E02      13865                    590                    494                   2767                  19173                     2                        91                13772
E03      11000                    286                    363                   2118                  19723                     2                       101                10897
F02      10236                    539                    352                   1981                  12672                     4                        61                10171
F03      12478                    240                    438                   3532                  18375                     4                        82                12392
G02      11641                    209                    396                   2034                  13012                     0                        59                11582
G03       8965                    458                    292                   1936                  11127                     1                        44                 8920
H02      10367                    428                    335                   2126                  16844                     2                        79                10286
H03      15605                    653                    514                   3645                  18330                     2                        79                15524
