     reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
A03      14621                    435                    597                   2943                  14364                     6                        59                14556
B03      11616                    377                    490                   2516                  11478                     2                        38                11576
C03      13753                    418                    550                   4439                  22127                     4                        89                13660
D03       8461                    197                    369                   1823                  14154                     2                        69                 8390
E02      11068                    296                    427                   2720                  15013                     3                        63                11002
E03      10485                    269                    405                   2316                  17303                     5                        71                10409
F02       9801                    282                    420                   2603                  14675                     0                        58                 9743
F03      12639                    439                    504                   2913                  16772                     2                        73                12564
G02      10726                    313                    424                   3164                  14710                     4                        51                10671
G03       9152                    274                    380                   2532                  13507                     5                        53                 9094
H02      13428                    390                    541                   3081                  19410                     0                        87                13341
H03      17049                    581                    668                   3960                  19458                     4                        70                16975
