     reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
A03       6982                    203                    247                   2064                   9249                     1                        39                 6942
B03       7047                    219                    278                   2635                   6261                     1                        26                 7020
C03       6790                    186                    249                   2912                   9780                     2                        45                 6743
D03       5267                    158                    214                   1551                   7755                     0                        34                 5233
E02       6871                    155                    288                   2354                   9247                     1                        38                 6832
E03       5019                    166                    196                   1852                   8636                     0                        39                 4980
F02       6389                    212                    259                   1769                   6729                     1                        29                 6359
F03       7159                    197                    263                   2942                   9813                     0                        44                 7115
G02       6629                    189                    220                   2000                   8358                     0                        35                 6594
G03       4619                    141                    176                   1638                   6755                     0                        31                 4588
H02       5197                    136                    199                   1054                   7763                     0                        34                 5163
H03       7782                    203                    297                   2330                   8370                     2                        34                 7746
