     hetero_est  error_est
A03    0.077407   0.021415
B03    0.079635   0.024888
C03    0.069630   0.018323
D03    0.087526   0.025801
E02    0.087526   0.025801
E03    0.080905   0.027781
F02    0.080905   0.027781
F03    0.074460   0.022567
G02    0.076095   0.023400
G03    0.095588   0.026920
H02    0.075933   0.023715
H03    0.070190   0.023975
