     reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
A03       7404                    212                    360                   1889                   9132                     2                        34                 7368
B03       8109                    211                    428                   3165                  12335                     7                        53                 8049
C03       7638                    184                    348                   3063                  11962                     2                        43                 7593
D03       5989                    161                    271                   2157                  10141                     3                        39                 5947
E02       7450                    265                    423                   2604                   9256                     2                        42                 7406
E03       6081                    157                    309                   1552                  12469                     3                        48                 6030
F02       7265                    202                    346                   2050                   8318                     3                        34                 7228
F03       8314                    212                    361                   2154                  10818                     2                        46                 8266
G02       7987                    225                    366                   2485                  10541                     0                        35                 7952
G03       6136                    176                    273                   1663                   7576                     2                        26                 6108
H02       7143                    262                    396                   1952                  11385                     2                        43                 7098
H03      10314                    359                    537                   3005                  10973                     2                        37                10275
