DEBUG 09-11 10:43:57,627 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 09-11 10:43:57,627 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  09-11 10:43:58,057 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 09-11 10:43:58,114 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 09-11 10:43:58,121 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 09-11 10:43:58,122 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  10-11 15:59:14,516 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 10-11 15:59:14,781 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 10-11 15:59:14,809 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 10-11 15:59:15,774 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 10-11 15:59:15,949 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  10-11 15:59:16,327 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 10-11 15:59:16,387 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 10-11 15:59:16,415 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 10-11 15:59:16,691 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 10-11 15:59:16,704 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  10-11 15:59:17,051 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 10-11 15:59:17,106 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 10-11 15:59:17,119 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 10-11 15:59:17,374 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 10-11 15:59:17,386 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  10-11 15:59:17,730 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 10-11 15:59:17,787 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 10-11 15:59:17,801 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 10-11 15:59:18,078 (PGDWriter.java:write:47)  -Writing data to outputstream...
DEBUG 10-11 15:59:18,098 (PGDWriter.java:write:56)  -Writing data to outputstream done.
INFO  10-11 15:59:18,438 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
