     hetero_est  error_est
A03    0.013640   0.001188
B03    0.014524   0.001186
C03    0.011093   0.000834
D03    0.013368   0.000966
E02    0.016257   0.001058
E03    0.010204   0.000734
F02    0.009476   0.001305
F03    0.010033   0.000975
G02    0.007924   0.001226
G03    0.011761   0.001094
H02    0.006902   0.001035
H03    0.017000   0.000899
