     reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
A03      13706                    251                    763                   3925                  18178                     5                        73                13628
B03      11770                    252                    779                   3238                  12829                     3                        40                11727
C03      13086                    346                    682                   4188                  22114                     3                        92                12991
D03       8114                    200                    443                   2430                  14925                     2                        61                 8051
E02      11324                    278                    719                   3543                  14996                     1                        66                11257
E03       9672                    300                    585                   2627                  19877                     2                        83                 9587
F02       8274                    177                    460                   2231                  11391                     1                        46                 8227
F03      12488                    352                    689                   3147                  18917                     2                        70                12416
G02      10971                    321                    601                   3242                  15174                     3                        58                10910
G03       8022                    185                    443                   2126                  12396                     6                        45                 7971
H02       9983                    246                    604                   2702                  13964                     1                        57                 9925
H03      13284                    274                    763                   3264                  18548                     3                        72                13209
