     reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
A03      12195                    208                    616                   2508                  11330                     3                        43                12149
B03      11413                    212                    524                   2857                  10284                     3                        39                11371
C03      10734                    409                    499                   2638                  15523                     4                        72                10658
D03       7579                    159                    369                   1794                  12587                     2                        55                 7522
E02      10793                    334                    544                   2421                  11250                     1                        45                10747
E03       7472                    127                    430                   1880                  12083                     0                        56                 7416
F02       6834                    126                    285                   1903                   8159                     1                        34                 6799
F03      11575                    427                    598                   2336                  14819                     2                        55                11518
G02      10139                    427                    522                   2055                  12480                     2                        53                10084
G03       6010                    111                    298                   1794                   9280                     2                        43                 5965
H02       6792                    196                    305                   1742                   9338                     3                        40                 6749
H03       9277                    242                    484                   2942                  10298                     3                        39                 9235
