     reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
A03      12350                    320                    451                   5258                  13776                     3                        58                12289
B03       9357                    277                    393                   3333                   9858                     2                        41                 9314
C03      12908                    347                    510                   5046                  19335                     3                        80                12825
D03       6545                    178                    238                   2438                  10803                     2                        49                 6494
E02       9460                    245                    391                   3406                  11256                     3                        49                 9408
E03       8450                    322                    369                   2592                  16249                     2                        66                 8382
F02       7192                    192                    297                   3238                   8363                     3                        39                 7150
F03       9922                    243                    386                   3348                  13691                     3                        56                 9863
G02       8874                    224                    372                   2956                  11924                     1                        49                 8824
G03       7071                    184                    273                   2820                  10499                     0                        41                 7030
H02       7066                    212                    303                   2675                  10223                     1                        44                 7021
H03      10214                    284                    427                   3508                  11260                     3                        42                10169
