     hetero_est  error_est
A03    0.005646   0.000960
B03    0.005185   0.001038
C03    0.004738   0.000915
D03    0.004037   0.000931
E02    0.004747   0.000978
E03    0.005394   0.000964
F02    0.006553   0.001089
F03    0.006381   0.000956
G02    0.006217   0.000962
G03    0.005261   0.000975
H02    0.007006   0.000968
H03    0.003939   0.000896
