     reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
A03      17568                    459                    900                   4961                  24941                     3                       104                17461
B03      14388                    310                    715                   4624                  19071                     4                        65                14319
C03      16631                    636                    842                   7715                  28230                     4                       107                16520
D03      10058                    243                    507                   3030                  17925                     0                        73                 9985
E02      12637                    377                    627                   4488                  19668                     6                        74                12557
E03      12262                    428                    629                   3661                  28822                     2                       125                12135
F02      11972                    329                    608                   4584                  19385                     2                        75                11895
F03      13788                    519                    723                   3879                  20182                     3                        77                13708
G02      12456                    486                    628                   4727                  19258                     2                        72                12382
G03      13240                    350                    656                   4200                  22623                     5                        82                13153
H02      12574                    358                    690                   3855                  24150                     7                        99                12468
H03      19592                    576                   1083                   6650                  28333                     7                        97                19488
